Time,,Paid Activity,,,,Site Activity,,Time,Weekly Historical Search Interest,,
Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,Week,Term 1,Term 2,Term 3
1/1/2014,2014-1,"8,000",300,"7,500,000","36,000","29,200",,12/30/2007,16,16,47
1/2/2014,2014-1,"13,000",700,"7,600,000","41,000","28,500",,1/6/2008,24,17,64
1/3/2014,2014-1,"47,000","2,000","7,800,000","39,000","27,000",,1/13/2008,22,34,64
1/4/2014,2014-1,"52,000","1,000","7,600,000","35,000","22,100",,1/20/2008,30,23,63
1/5/2014,2014-1,"60,000","2,000","7,400,000","41,000","22,400",,1/27/2008,22,15,63
1/6/2014,2014-1,"96,000","3,000","8,600,000","39,000","26,600",,2/3/2008,31,26,67
1/7/2014,2014-1,"140,000","3,000","17,100,000","38,000","26,000",,2/10/2008,24,26,61
1/8/2014,2014-1,"170,000","4,000","13,200,000","38,000","28,800",,2/17/2008,23,37,64
1/9/2014,2014-1,"170,000","4,000","9,100,000","29,000","25,400",,2/24/2008,29,25,66
1/10/2014,2014-1,"170,000","4,000","9,000,000","34,000","26,700",,3/2/2008,24,37,67
1/11/2014,2014-1,"110,000","2,000","7,000,000","37,000","23,100",,3/9/2008,29,32,69
1/12/2014,2014-1,"130,000","3,000","7,500,000","44,000","25,700",,3/16/2008,21,21,59
1/13/2014,2014-1,"160,000","4,000","12,100,000","56,000","33,500",,3/23/2008,28,27,63
1/14/2014,2014-1,"170,000","4,000","5,800,000","31,000","25,400",,3/30/2008,26,23,63
1/15/2014,2014-1,"180,000","5,000","14,900,000","63,000","34,500",,4/6/2008,26,27,67
1/16/2014,2014-1,"190,000","5,000","14,800,000","53,000","33,500",,4/13/2008,28,37,67
1/17/2014,2014-1,"170,000","4,000","14,000,000","67,000","33,600",,4/20/2008,29,29,68
1/18/2014,2014-1,"130,000","3,000","18,500,000","90,000","40,200",,4/27/2008,28,23,58
1/19/2014,2014-1,"120,000","3,000","7,100,000","32,000","17,500",,5/4/2008,26,32,59
1/20/2014,2014-1,"150,000","4,000","7,700,000","48,000","27,700",,5/11/2008,29,25,57
